Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
RIVER BEAS AT U/S MANALI,HIMACHAL PRADESH,2.0,24.0,7.8,9.2,7.2,8.2,68.0,380.0,1.0,2.8,0.32,1.15,2.0,170.0,63.0,540.0,2,2,0
RIVER BEAS AT D/S MANALI,HIMACHAL PRADESH,2.0,13.0,7.6,9.0,6.5,8.1,58.0,135.0,1.0,2.8,0.32,1.87,110.0,1600.0,920.0,1600.0,2,2,0
RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT MANALI,HIMACHAL PRADESH,2.0,13.0,7.8,8.8,6.7,7.8,62.0,113.0,1.0,2.8,0.32,1.08,110.0,1600.0,350.0,1600.0,2,2,0
RIVER BEAS D/S MANALSU NALLAH,HIMACHAL PRADESH,2.0,14.0,7.9,8.9,6.3,8.0,52.0,137.0,1.0,1.0,0.32,1.74,22.0,110.0,79.0,540.0,2,2,0
RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH,HIMACHAL PRADESH,2.0,13.0,7.8,9.1,7.0,7.8,51.0,113.0,1.0,1.0,0.32,0.97,23.0,120.0,110.0,430.0,2,2,0
"RIVER BEAS, U/S KULLU",HIMACHAL PRADESH,4.0,16.0,7.6,8.7,6.7,7.8,44.0,128.0,1.0,1.0,0.32,0.9,49.0,220.0,240.0,920.0,2,2,0
RIVER BEAS D/S OF  WASTE PROCESSING FACILITY AT KULLU,HIMACHAL PRADESH,4.0,16.0,7.6,8.4,6.6,7.7,73.0,170.0,1.0,1.6,0.32,0.96,47.0,150.0,280.0,920.0,2,2,0
RIVER BEAS D/S KULLU,HIMACHAL PRADESH,4.0,16.0,7.5,8.4,7.2,8.0,77.0,144.0,1.0,1.6,0.32,2.65,110.0,540.0,540.0,1600.0,2,2,0
RIVER BEAS D/S AUT,HIMACHAL PRADESH,5.0,16.0,7.5,8.1,7.2,8.2,61.0,129.0,1.0,1.0,0.32,0.77,34.0,280.0,170.0,1600.0,2,2,0
RIVER BEAS AT PANDOH DAM,HIMACHAL PRADESH,9.0,26.0,8.3,9.0,7.1,8.3,65.0,205.0,1.0,1.0,0.32,1.06,22.0,79.0,70.0,430.0,2,2,0
"RIVER BEAS, D/S PANDOH DAM",HIMACHAL PRADESH,8.0,26.0,8.0,9.3,7.1,8.2,61.0,202.0,1.0,1.0,0.32,1.15,41.0,110.0,210.0,920.0,2,2,0
RIVER BEAS AT EXIT OF  DEHAR POWER HOUSE,HIMACHAL PRADESH,10.0,28.0,8.1,9.1,6.9,8.1,96.0,280.0,1.0,1.0,0.32,0.95,17.0,94.0,63.0,350.0,2,2,0
"BEAS RIVER, U/S OF MANDI TOWN",HIMACHAL PRADESH,6.0,25.0,7.8,9.2,7.2,8.0,80.0,190.0,1.0,1.0,0.32,0.98,23.0,94.0,120.0,430.0,2,2,0
RIVER BEAS D/S MANDI TOWN,HIMACHAL PRADESH,8.0,25.0,8.3,9.1,7.0,8.0,84.0,191.0,1.0,1.0,0.51,5.3,41.0,280.0,220.0,1600.0,2,2,0
RIVER BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,13.0,22.0,8.6,9.4,7.2,8.2,115.0,362.0,1.0,1.0,1.2,4.83,2.0,68.0,110.0,16000.0,2,2,0
RIVER BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,13.0,22.0,8.5,9.2,7.3,8.3,123.0,960.0,1.0,1.0,0.98,4.21,2.0,45.0,70.0,9200.0,2,2,0
"RIVER BEAS D/S NADAUN BRIDGE, VILL BHADOLI",HIMACHAL PRADESH,14.0,22.0,6.8,9.3,7.5,8.5,81.0,404.0,1.0,1.2,0.3,2.53,2.0,93.0,39.0,5400.0,2,2,0
"RIVER BEAS AT PONG DAM ,PONG VILLAGE",HIMACHAL PRADESH,7.0,19.0,8.2,9.1,7.5,8.5,157.0,257.0,1.0,1.0,0.41,3.57,2.0,78.0,220.0,5400.0,2,2,0
RIVER BEAS AT D/S PONG DAM,HIMACHAL PRADESH,8.0,20.0,8.1,9.2,7.4,8.2,158.0,264.0,1.0,1.0,0.73,2.87,2.0,68.0,170.0,5400.0,2,2,0
RIVER BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,15.0,22.0,6.7,9.2,7.2,8.2,107.0,386.0,1.0,1.0,1.08,3.27,2.0,110.0,40.0,5400.0,2,2,0
RIVER BEAS U/S SUJANPUR TIHRA,HIMACHAL PRADESH,15.0,28.0,7.7,9.0,6.9,8.8,241.0,964.0,1.0,4.8,0.32,2.59,2.0,5.0,17.0,170.0,2,2,0
RIVER BEAS D/S SUJANPUR TIHRA,HIMACHAL PRADESH,14.9,28.0,7.6,8.8,7.0,8.2,229.0,545.0,1.0,3.6,0.32,3.12,2.0,5.0,17.0,220.0,2,2,0
RIVER BEAS U/S NADAUM TOWN,HIMACHAL PRADESH,15.6,27.0,6.7,8.9,7.4,8.3,241.0,3040.0,1.0,2.8,0.3,1.17,2.0,8.0,17.0,170.0,2,2,0
